temperature,rate_3,rate_10,rate_5
31.63192,99.99894,99.96317,100.07588
32.58683,99.99902,99.9709,100.04476
33.54175,100.00064,99.9765,100.03758
34.49666,100.0006,99.98113,100.03165
35.45158,99.99498,99.97782,100.03084
36.40649,99.99931,99.99157,100.04517
37.36141,99.99758,99.99625,100.0493
38.31632,100.00253,99.99793,100.04621
39.27124,99.99177,100.00142,100.04835
40.22615,99.98793,99.99171,100.03829
41.18107,99.98837,99.99222,100.04335
42.13598,99.99517,99.9945,100.03759
43.0909,99.99208,99.98998,100.04591
44.04581,99.99,99.98411,100.03696
45.00073,99.99101,99.9861,100.03739
45.95564,99.99343,99.98957,100.05198
46.91056,99.99298,99.99584,100.04293
47.86547,99.99827,100.00278,100.04641
48.82039,100.0,99.99414,100.04958
49.7753,99.99862,99.99226,100.05814
50.73022,100.00072,99.99707,100.04879
51.68513,100.00034,99.99875,100.04439
52.64005,99.99656,99.9918,100.04598
53.59496,99.99347,99.99124,100.05239
54.54988,99.99778,99.98497,100.03798
55.50479,100.00552,99.97988,100.04238
56.45971,100.00862,99.98224,100.04279
57.41462,100.00741,99.98492,100.03995
58.36954,100.00484,99.98784,100.04365
59.32445,100.01241,99.98986,100.04201
60.27937,100.01241,99.98661,100.04239
61.23428,100.01159,99.98459,100.03835
62.1892,100.01477,99.98871,100.04193
63.14411,100.01724,99.9925,100.04611
64.09903,100.02414,99.99134,100.04137
65.05394,100.01931,99.99081,100.04866
66.00886,100.01517,99.98916,100.05557
66.96377,100.01414,99.99424,100.05638
67.91869,100.01689,99.9921,100.0596
68.8736,100.01758,99.9854,100.06442
69.82852,100.02155,99.98154,100.06516
70.78343,100.02793,99.97972,100.05799
71.73835,100.03414,99.9799,100.05718
72.69326,100.03654,99.98789,100.06278
73.64818,100.03379,99.98695,100.05998
74.60309,100.03172,99.98603,100.05536
75.55801,100.02646,99.98196,100.05438
76.51292,100.02724,99.98412,100.05358
77.46784,100.02655,99.98579,100.05838
78.42275,100.02689,99.98885,100.05958
79.37767,100.02758,99.9929,100.05838
80.33258,100.02633,99.99966,100.06005
81.2875,100.02428,99.99831,100.0553
82.24241,100.02272,99.99249,100.05281
83.19733,100.01208,99.98791,100.05998
84.15224,100.00831,99.98913,100.05278
85.10716,100.0185,99.98872,100.05238
86.06207,100.00643,99.98576,100.05198
87.01699,100.00724,99.98201,100.04639
87.9719,100.00896,99.97936,100.04759
88.92682,100.01034,99.97739,100.04919
89.88173,100.01621,99.97852,100.04436
90.83665,100.02,99.97896,100.04359
91.79156,100.02009,99.97932,100.04641
92.74648,100.01596,99.98344,100.04839
93.70139,100.01448,99.98751,100.05038
94.65631,100.01414,99.98955,100.05038
95.61122,100.01859,99.98827,100.05038
96.56614,100.02062,99.98704,100.04959
97.52105,100.0209,99.97785,100.04607
98.47597,100.01517,99.97701,100.04319
99.43088,100.01931,99.97701,100.04128
100.3858,100.02103,99.9766,100.0408
101.34071,100.02103,99.97533,100.04007
102.29563,100.02207,99.97367,100.036
103.25054,100.01726,99.972,100.03319
104.20546,100.01655,99.9696,100.02918
105.16037,100.02843,99.96572,100.02479
106.11529,100.03274,99.96197,100.02768
107.0702,100.02445,99.96197,100.03239
108.02512,100.02103,99.9628,100.03279
108.98003,100.02103,99.96071,100.03519
109.93495,100.02103,99.95905,100.03799
110.88986,100.01965,99.95817,100.04039
111.84478,100.01828,99.95654,100.03919
112.79969,100.01762,99.95611,100.03798
113.75461,100.01618,99.95611,100.03722
114.70952,100.01758,99.95528,100.03599
115.66444,100.01793,99.95489,100.03479
116.61935,100.02069,99.95828,100.03399
117.57427,100.01758,99.95904,100.03359
118.52918,100.01251,99.95743,100.03399
119.4841,100.00965,99.95423,100.03399
120.43901,100.00724,99.95235,100.03319
121.39393,100.0155,99.95194,100.03319
122.34884,100.01448,99.95194,100.03194
123.30376,100.01345,99.95235,100.02719
124.25867,100.00038,99.95319,100.02559
125.21359,99.99759,99.95361,100.02439
126.1685,99.99029,99.95403,100.02279
127.12342,99.99434,99.95403,100.02279
128.07833,99.99517,99.95445,100.02359
129.03325,99.99207,99.95021,100.02399
129.98816,99.9872,99.94693,100.02359
130.94308,99.98414,99.94441,100.01759
131.89799,99.98107,99.94187,100.00758
132.85291,99.97897,99.94149,100.00644
133.80782,99.96977,99.94149,100.01036
134.76274,99.96138,99.94149,100.0136
135.71765,99.95828,99.94065,100.01319
136.67257,99.9507,99.93487,100.012
137.62748,99.94548,99.92764,100.0112
138.5824,99.94863,99.92477,100.0104
139.53731,99.94104,99.92477,100.00831
140.49223,99.93897,99.92852,99.9968
141.44714,99.93483,99.93187,99.9964
142.40206,99.93242,99.93024,99.9964
