temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
31.02392,99.50304,100.40582,99.36246,-0.004995235,7.6e-25,0.000630288,0.000320683,3.25e-05,0.000983454,-0.014430679,4.53e-05,4.68e-67,2.74e-05,9.47e-80,7.27e-05,-0.07725335371919476,1.7297059347093851e-56,0.0020428334813860248,0.0009005591631020227,2.9160746256900447e-05,0.002972553390744948
31.97883,99.50781,100.4196,99.43623,-0.006419405,1.26e-24,0.000640643,0.000325194,3.29e-05,0.000998747,-0.00430939,4.82e-05,3.87e-74,2.79e-05,3.86e-79,7.61e-05,-0.028657509789852043,5.222151566062551e-56,0.002068822415150937,0.000910781033849014,2.9511951587074054e-05,0.0030091154005870255
32.93375,99.5153,100.41405,99.41719,-0.02579306,2.07e-24,0.000651196,0.000329779,3.33e-05,0.001014318,-0.001356217,5.14e-05,1.39e-81,2.83e-05,1.57e-78,7.96e-05,0.0024764773589822653,1.5689877303359574e-55,0.0020951977585633784,0.0009211378856399995,2.986802035511884e-05,0.0030462036645584967
33.88866,99.55707,100.42219,99.4315,-0.002660353,3.4099999999999995e-24,0.000661951,0.000334437,3.38e-05,0.001030172,-0.004654905,5.47e-05,2.17e-89,2.87e-05,6.33e-78,8.34e-05,-0.013163494365677764,4.691076266072043e-55,0.0021219655536138826,0.0009316315394195127,3.022902136514663e-05,0.003083826114398542
34.84358,99.52038,100.42294,99.44233,0.017420179,5.59e-24,0.000672911,0.000339173,3.42e-05,0.001046314,0.000214689,5.82e-05,1.46e-97,2.91e-05,2.54e-77,8.73e-05,-0.01872425695432156,1.395784186018322e-54,0.002149133083147544,0.0009422642876745575,3.059503978320504e-05,0.0031219924106053063
35.79849,99.5238,100.42178,99.46726,-0.007110544,9.16e-24,0.000684082,0.000343985,3.47e-05,0.00106275,-0.003330092,6.19e-05,4.29e-106,2.96e-05,1.01e-76,9.15e-05,-0.017467613762526923,4.132824554026592e-54,0.002176706630768631,0.0009530380158661602,3.09661469159661e-05,0.0031607107935507574
36.75341,99.53396,100.4293,99.47569,-0.013545739,1.4999999999999997e-23,0.000695467,0.000348876,3.51e-05,0.001079488,-0.002487076,6.59e-05,5.4599999999999985e-115,3e-05,4.02e-76,9.59e-05,-0.004241167153367087,1.2177789255097561e-53,0.0022046937600198793,0.0009639550939877706,3.134243090520261e-05,0.0031999912849128525
37.70832,99.54967,100.42653,99.47536,-0.001372008,2.44e-23,0.000707072,0.000353848,3.56e-05,0.001096532,-0.002309051,7.01e-05,3.01e-124,3.05e-05,1.59e-75,0.000100586,-0.0074770233722816215,3.570860619635711e-53,0.0022331010069056513,0.0009750174745578916,3.172396566082103e-05,0.0032398424471243637
38.66324,99.53658,100.43371,99.48997,0.001963403,3.96e-23,0.000718902,0.000358902,3.61e-05,0.001113891,-0.006974437,7.45e-05,7.209999999999998e-134,3.09e-05,6.24e-75,0.000105499,-0.006010908942116089,1.0420056859882924e-52,0.002261936227886702,0.0009862276080313944,3.211084241666331e-05,0.00328027467833476
39.61815,99.54592,100.43985,99.48684,-0.005806841,6.429999999999999e-23,0.000730962,0.000364039,3.66e-05,0.001131569,-0.000665041,7.93e-05,7.490000000000001e-144,3.14e-05,2.44e-74,0.000110683,-0.007079055655161426,3.025870120822725e-52,0.00229120622268733,0.0009975875166357685,3.250313779099831e-05,0.0033212968771140967
