temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
31.23291,100.48009,99.4638,99.6231,0.0,0.0,0.0,0.0,6.847669818328009e-09,6.847669818328009e-09,-0.0,0.0,6.742523329950123e-11,6.742523329950123e-11,0.0,5.457083761813118e-12,5.457083761813118e-12,-0.0
32.18783,100.49841,99.47196,99.63159,0.0,0.0,0.0,0.0,7.067812626417255e-09,7.067812626417255e-09,-0.0,0.0,7.028680297950566e-11,7.028680297950566e-11,0.0,5.7227831200710785e-12,5.7227831200710785e-12,-0.0
33.14274,100.49727,99.46862,99.64153,0.0,0.0,0.0,0.0,7.29542943981434e-09,7.29542943981434e-09,-0.0,0.0,7.327416030145639e-11,7.327416030145639e-11,0.0,6.001726292121743e-12,6.001726292121743e-12,-0.0
34.09766,100.49974,99.4674,99.65072,0.0,0.0,0.0,0.0,7.530792717457407e-09,7.530792717457407e-09,-0.0,0.0,7.6393094185798e-11,7.6393094185798e-11,0.0,6.294595079127575e-12,6.294595079127575e-12,-0.0
35.05257,100.50067,99.46966,99.66333,0.0,0.0,0.0,0.0,7.774175303375074e-09,7.774175303375074e-09,-0.0,0.0,7.964953512645057e-11,7.964953512645057e-11,0.0,6.602094584017475e-12,6.602094584017475e-12,-0.0
36.00749,100.49553,99.47067,99.67159,0.0,0.0,0.0,0.0,8.025870557358128e-09,8.025870557358128e-09,-0.0,0.0,8.304982988986862e-11,8.304982988986862e-11,0.0,6.924979665584996e-12,6.924979665584996e-12,-0.0
36.9624,100.4963,99.47695,99.66962,0.0,0.0,0.0,0.0,8.286172366588182e-09,8.286172366588182e-09,-0.0,0.0,8.660048216225142e-11,8.660048216225142e-11,0.0,7.264031126893277e-12,7.264031126893277e-12,-0.0
37.91732,100.50309,99.48608,99.67694,0.0,0.0,0.0,0.0,8.5553966794411e-09,8.5553966794411e-09,-0.0,0.0,9.030845219979985e-11,9.030845219979985e-11,0.0,7.620084899069523e-12,7.620084899069523e-12,-0.0
38.87223,100.52128,99.48353,99.68218,0.0,0.0,0.0,0.0,8.83386013389934e-09,8.83386013389934e-09,-0.0,0.0,9.418087421944733e-11,9.418087421944733e-11,0.0,7.994005805517904e-12,7.994005805517904e-12,-0.0
39.82715,100.50924,99.482,99.68785,0.0,0.0,0.0,0.0,9.121903097870928e-09,9.121903097870928e-09,-0.0,0.0,9.822538335161736e-11,9.822538335161736e-11,0.0,8.38671976415937e-12,8.38671976415937e-12,-0.0
