temperature,rate_5,rate_3,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_cumulative,rate_3_diff_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_cumulative,rate_10_diff_diff
31.23291,100.48009,99.4638,99.6231,0.0,0.0,0.0,6.973846886629221e-121,4.589154396184307e-32,4.589154396184307e-32,-0.0,2.3886892308292935e-112,1.9577329739544526e-22,1.9577329739544526e-22,1.0205134654620118e-122,1.6970504160373528e-25,1.6970504160373528e-25,-0.0
32.18783,100.49841,99.47196,99.63159,0.0,0.0,0.0,1.6710732869855215e-120,5.610406579251119e-32,5.610406579251119e-32,-0.0,5.093067698014227e-112,2.220414831661935e-22,2.220414831661935e-22,2.1764147301132498e-122,1.9441581540588478e-25,1.9441581540588478e-25,-0.0
33.14274,100.49727,99.46862,99.64153,0.0,0.0,0.0,4.004189396284362e-120,6.858909732872104e-32,6.858909732872104e-32,-0.0,1.0859149266947075e-111,2.518339114527299e-22,2.518339114527299e-22,4.6415296507237254e-122,2.227244112269524e-25,2.227244112269524e-25,-0.0
34.09766,100.49974,99.4674,99.65072,0.0,0.0,0.0,9.594839182647567e-120,8.385264249071852e-32,8.385264249071852e-32,-0.0,2.3153444008369577e-111,2.8562411704983075e-22,2.8562411704983075e-22,9.89883411045411e-122,2.551553425300877e-25,2.551553425300877e-25,-0.0
35.05257,100.50067,99.46966,99.66333,0.0,0.0,0.0,2.2990944570430428e-119,1.0251266063918742e-31,1.0251266063918742e-31,-0.0,4.9366456414631444e-111,3.2394774875491724e-22,3.2394774875491724e-22,2.1110743001117892e-121,2.9230812996248133e-25,2.9230812996248133e-25,-0.0
36.00749,100.49553,99.47067,99.67159,0.0,0.0,0.0,5.50909045449104e-119,1.2532542077573973e-31,1.2532542077573973e-31,-0.0,1.0525718510628125e-110,3.6741394030156793e-22,3.6741394030156793e-22,4.502217127577774e-121,3.348711558559514e-25,3.348711558559514e-25,-0.0
36.9624,100.4963,99.47695,99.66962,0.0,0.0,0.0,1.3200762499673393e-118,1.5321451951700453e-31,1.5321451951700453e-31,-0.0,2.2442338336351595e-110,4.167117260658401e-22,4.167117260658401e-22,9.60165082624719e-121,3.836312435240709e-25,3.836312435240709e-25,-0.0
37.91732,100.50309,99.48608,99.67694,0.0,0.0,0.0,3.163166891911325e-118,1.8731026985052395e-31,1.8731026985052395e-31,-0.0,4.785065674243993e-110,4.726246681206297e-22,4.726246681206297e-22,2.047711764605571e-120,4.394918401956581e-25,4.394918401956581e-25,-0.0
38.87223,100.52128,99.48353,99.68218,0.0,0.0,0.0,7.579511578524534e-118,2.289930711431876e-31,2.289930711431876e-31,-0.0,1.02024448701163e-109,5.360391091099869e-22,5.360391091099869e-22,4.367051343683009e-120,5.034855890827126e-25,5.034855890827126e-25,-0.0
39.82715,100.50924,99.482,99.68785,0.0,0.0,0.0,1.816202668795774e-117,2.7995227922879888e-31,2.7995227922879888e-31,-0.0,2.175324514303561e-109,6.079629878300024e-22,6.079629878300024e-22,9.313463460523402e-120,5.767981930389155e-25,5.767981930389155e-25,-0.0
40.78206,100.49466,99.4777,99.68779,0.0,0.0,0.0,4.351945258495908e-117,3.422510268406329e-31,3.422510268406329e-31,-0.0,4.638103203317274e-109,6.89536455352906e-22,6.89536455352906e-22,1.9862352613604106e-119,6.607849144019433e-25,6.607849144019433e-25,-0.0
41.73698,100.49726,99.47877,99.6908,0.0,0.0,0.0,1.0428131827555065e-116,4.184142103256927e-31,4.184142103256927e-31,-0.0,9.889178257261403e-109,7.820560785389313e-22,7.820560785389313e-22,4.2359771101482397e-119,7.5700189415312525e-25,7.5700189415312525e-25,-0.0
42.69189,100.49745,99.47879,99.68806,0.0,0.0,0.0,2.49876622480625e-116,5.115253696921839e-31,5.115253696921839e-31,-0.0,2.1085143412666486e-108,8.869884961380488e-22,8.869884961380488e-22,9.033854202740565e-119,8.672278066521903e-25,8.672278066521903e-25,-0.0
43.64681,100.49576,99.48928,99.68596,0.0,0.0,0.0,5.987543971894419e-116,6.253581927775331e-31,6.253581927775331e-31,-0.0,4.495689997554165e-108,1.0060015530924286e-21,1.0060015530924286e-21,1.9266196892012553e-118,9.935049635510223e-25,9.935049635510223e-25,-0.0
44.60172,100.49337,99.48014,99.68903,0.0,0.0,0.0,1.4347222392200848e-115,7.645213113138774e-31,7.645213113138774e-31,-0.0,9.585454511118349e-108,1.140981867127791e-21,1.140981867127791e-21,4.108804397142834e-118,1.1381677339160386e-24,1.1381677339160386e-24,-0.0
45.55664,100.50164,99.47146,99.69015,0.0,0.0,0.0,3.437881627142279e-115,9.346548458991543e-31,9.346548458991543e-31,-0.0,2.0437722961731343e-107,1.294074878511402e-21,1.294074878511402e-21,8.762708886988846e-118,1.3038964898558786e-24,1.3038964898558786e-24,-0.0
46.51155,100.50477,99.48288,99.69812,0.0,0.0,0.0,8.23777704083663e-115,1.142646816920975e-30,1.142646816920975e-30,-0.0,4.35761504612406e-107,1.467707446920264e-21,1.467707446920264e-21,1.8687786181957443e-117,1.4937549056785745e-24,1.4937549056785745e-24,-0.0
47.46647,100.51209,99.48342,99.70026,0.0,0.0,0.0,1.9739362479375638e-114,1.3969268989389484e-30,1.3969268989389484e-30,-0.0,9.291132620081149e-107,1.6646393696376728e-21,1.6646393696376728e-21,3.9854812793879145e-117,1.7112607572505407e-24,1.7112607572505407e-24,-0.0
48.42138,100.51288,99.48926,99.69786,0.0,0.0,0.0,4.729903023697766e-114,1.707789866545132e-30,1.707789866545132e-30,-0.0,1.9810024520153243e-106,1.8879924491419907e-21,1.8879924491419907e-21,8.499634410083577e-117,1.9604348741829715e-24,1.9604348741829715e-24,-0.0
49.3763,100.51601,99.48563,99.70555,0.0,0.0,0.0,1.1333794276567136e-113,2.0878346370760017e-30,2.0878346370760017e-30,-0.0,4.2238142441589847e-106,2.1413167637836133e-21,2.1413167637836133e-21,1.812688431534659e-116,2.2458940583767927e-24,2.2458940583767927e-24,-0.0
50.33121,100.50912,99.48889,99.70773,0.0,0.0,0.0,2.715779087329264e-113,2.5524476899461298e-30,2.5524476899461298e-30,-0.0,9.005776493224917e-106,2.4286280590159202e-21,2.4286280590159202e-21,3.8658289645256167e-116,2.5729153298859698e-24,2.5729153298859698e-24,-0.0
51.28613,100.51297,99.49132,99.70094,0.0,0.0,0.0,6.507550222949337e-113,3.1204592560177967e-30,3.1204592560177967e-30,-0.0,1.9201756662693103e-105,2.7544929949955194e-21,2.7544929949955194e-21,8.24452335735025e-116,2.947557875140201e-24,2.947557875140201e-24,-0.0
52.24104,100.50952,99.48243,99.69943,0.0,0.0,0.0,1.5593250039635573e-112,3.8148658318784255e-30,3.8148658318784255e-30,-0.0,4.094089341657078e-105,3.1240772449698745e-21,3.1240772449698745e-21,1.7582678103467105e-115,3.376747364546439e-24,3.376747364546439e-24,-0.0
53.19596,100.50797,99.47606,99.70097,0.0,0.0,0.0,3.736454789175289e-112,4.6638109146920355e-30,4.6638109146920355e-30,-0.0,8.729253646586035e-105,3.543255153932985e-21,3.543255153932985e-21,3.7497985978953417e-115,3.868435999862002e-24,3.868435999862002e-24,-0.0
54.15087,100.49985,99.48243,99.69756,0.0,0.0,0.0,8.953211545557827e-112,5.701664865672851e-30,5.701664865672851e-30,-0.0,1.8612018130895665e-104,4.018671610214885e-21,4.018671610214885e-21,7.997005871885375e-115,4.43171317436108e-24,4.43171317436108e-24,-0.0
55.10579,100.50831,99.48653,99.69446,0.0,0.0,0.0,2.1453686738085498e-111,6.97049070775504e-30,6.97049070775504e-30,-0.0,3.968380110476222e-104,4.557883105414498e-21,4.557883105414498e-21,1.705494534410077e-114,5.077015522321721e-24,5.077015522321721e-24,-0.0
